 GLOBAL TELECOMUNICATION SYSTEM DATA.
 NUMBER OF STATIONS= 800
 DATE= 2003/02/11
 TYPE= METAR
 ======================================================================================
 ID     COD LAT     LON      Z    Y  M D   UTCN UTC WD    WS  SLP    SFP     T     TDD
 ======================================================================================
 SAWH   512 -54.80  68.32    14.  3  2 11    0 21.0  20.  10. 9999.9 9999.9  15.0  10.0
 SAWH   512 -54.80  68.32    14.  3  2 11    0 22.0 290.   8. 9999.9 9999.9  15.0   9.0
 SAWH   512 -54.80  68.32    14.  3  2 11    0 23.0 160.   5. 9999.9 9999.9  14.0   7.0
 SAWH   512 -54.80  68.32    14.  3  2 11    0  0.0 160.   4. 9999.9 9999.9  12.0   5.0
 SAWE   512 -53.80  67.75    22.  3  2 11    0 21.0 320.  22. 9999.9 9999.9  10.0   1.0
 SAWE   512 -53.80  67.75    22.  3  2 11    0 22.0 320.  23. 9999.9 9999.9  12.0   2.0
 SAWE   512 -53.80  67.75    22.  3  2 11    0 23.0 320.  23. 9999.9 9999.9  12.0   2.0
 SAWE   512 -53.80  67.75    22.  3  2 11    0  0.0 320.  19. 9999.9 9999.9  12.0   2.0
 SAWE   512 -53.80  67.75    22.  3  2 11    0  1.0 270.  11. 9999.9 9999.9  10.0   1.0
 SAWE   512 -53.80  67.75    22.  3  2 11    0  2.0 270.  10. 9999.9 9999.9  10.0   0.0
 SCCI   512 -53.00  70.85    37.  3  2 11    0 21.0 290.  23. 9999.9 9999.9  16.0   9.0
 SCCI   512 -53.00  70.85    37.  3  2 11    0 22.0 300.  24. 9999.9 9999.9  16.0  10.0
 SCCI   512 -53.00  70.85    37.  3  2 11    0 23.0 310.  15. 9999.9 9999.9  15.0   8.0
 SCCI   512 -53.00  70.85    37.  3  2 11    0  0.0 320.  11. 9999.9 9999.9  14.0   8.0
 SCCI   512 -53.00  70.85    37.  3  2 11    0  1.0 310.   8. 9999.9 9999.9  12.0   6.0
 SCCI   512 -53.00  70.85    37.  3  2 11    0  2.0 320.  12. 9999.9 9999.9  11.0   6.0
 EGYP   512 -51.82  58.45    73.  3  2 11    0 21.8 330.  16. 9999.9 9999.9  14.0  11.0
 EGYP   512 -51.82  58.45    73.  3  2 11    0 22.8 340.  15. 9999.9 9999.9  13.0   9.0
 EGYP   512 -51.82  58.45    73.  3  2 11    0 23.8 360.  10. 9999.9 9999.9  11.0   6.0
 EGYP   512 -51.82  58.45    73.  3  2 11    0  0.8  10.  18. 9999.9 9999.9  10.0   3.0
 EGYP   512 -51.82  58.45    73.  3  2 11    0  1.8 360.  22. 9999.9 9999.9  10.0   3.0
 EGYP   512 -51.82  58.45    73.  3  2 11    0  2.8 360.  21. 9999.9 9999.9  10.0   1.0
 SAWG   512 -51.62  69.28    19.  3  2 11    0 21.0 320.  10. 9999.9 9999.9  22.0  21.0
 SAWG   512 -51.62  69.28    19.  3  2 11    0 22.0 230.  13. 9999.9 9999.9  22.0  27.0
 SAWG   512 -51.62  69.28    19.  3  2 11    0 23.0 230.   7. 9999.9 9999.9  21.0  19.0
 SAWG   512 -51.62  69.28    19.  3  2 11    0  0.0 230.   7. 9999.9 9999.9  19.0  14.0
 SAWG   512 -51.62  69.28    19.  3  2 11    0  1.0 230.   7. 9999.9 9999.9  18.0  12.0
 SAWG   512 -51.62  69.28    19.  3  2 11    0  2.0 250.   7. 9999.9 9999.9  16.0  10.0
 SAVC   512 -45.78  67.50    46.  3  2 11    0 21.0  50.  13. 9999.9 9999.9  23.0  16.0
 SAVC   512 -45.78  67.50    46.  3  2 11    0 22.0  50.  11. 9999.9 9999.9  23.0  16.0
 SAVC   512 -45.78  67.50    46.  3  2 11    0 23.0  50.   8. 9999.9 9999.9  22.0  15.0
 SAVC   512 -45.78  67.50    46.  3  2 11    0  0.0 110.   1. 9999.9 9999.9  21.0  11.0
 SAVC   512 -45.78  67.50    46.  3  2 11    0  1.0  70.   1. 9999.9 9999.9  20.0  11.0
 SAVC   512 -45.78  67.50    46.  3  2 11    0  2.0 270.   6. 9999.9 9999.9 999.9  99.9
 SAVT   512 -43.20  65.27    43.  3  2 11    0 22.0  20.  20. 9999.9 9999.9  29.0  27.0
 SAVT   512 -43.20  65.27    43.  3  2 11    0 23.0  20.  26. 9999.9 9999.9  26.0  19.0
 SAVT   512 -43.20  65.27    43.  3  2 11    0  0.0  20.  24. 9999.9 9999.9  21.0  14.0
 SAVT   512 -43.20  65.27    43.  3  2 11    0  1.0  20.  22. 9999.9 9999.9  20.0  14.0
 SAVT   512 -43.20  65.27    43.  3  2 11    0  2.0  20.  15. 9999.9 9999.9  19.0  11.0
 SAVE   512 -42.97  71.15   794.  3  2 11    0 21.0 270.  12. 9999.9 9999.9  25.0  32.0
 SAVE   512 -42.97  71.15   794.  3  2 11    0 22.0 270.  15. 9999.9 9999.9  23.0  29.0
 SAVE   512 -42.97  71.15   794.  3  2 11    0 23.0 270.  12. 9999.9 9999.9  22.0  25.0
 SAVE   512 -42.97  71.15   794.  3  2 11    0  0.0 250.  10. 9999.9 9999.9  19.0  23.0
 SAVE   512 -42.97  71.15   794.  3  2 11    0  1.0 250.  10. 9999.9 9999.9  17.0  21.0
 SAVE   512 -42.97  71.15   794.  3  2 11    0  2.0 250.   8. 9999.9 9999.9  15.0  18.0
 SCTE   512 -41.42  73.08    86.  3  2 11    0 21.0 120.  10. 9999.9 9999.9  18.0   7.0
 SCTE   512 -41.42  73.08    86.  3  2 11    0 22.0 140.   8. 9999.9 9999.9  17.0   7.0
 SCTE   512 -41.42  73.08    86.  3  2 11    0 23.0 150.   6. 9999.9 9999.9  16.0   6.0
 SCTE   512 -41.42  73.08    86.  3  2 11    0  0.0 210.   4. 9999.9 9999.9  14.0   4.0
 SCTE   512 -41.42  73.08    86.  3  2 11    0  1.0 210.   3. 9999.9 9999.9  12.0   2.0
 SCTE   512 -41.42  73.08    86.  3  2 11    0  2.0 210.   2. 9999.9 9999.9  11.0   1.0
 SAZS   512 -41.15  71.17   840.  3  2 11    0 21.0 270.  22. 9999.9 9999.9  27.0  24.0
 SAZS   512 -41.15  71.17   840.  3  2 11    0 22.0 270.  23. 9999.9 9999.9  25.0  21.0
 SAZS   512 -41.15  71.17   840.  3  2 11    0 23.0 290.  15. 9999.9 9999.9  23.0  18.0
 SAZS   512 -41.15  71.17   840.  3  2 11    0  0.0 290.  14. 9999.9 9999.9  19.0  12.0
 SAZS   512 -41.15  71.17   840.  3  2 11    0  1.0 290.   8. 9999.9 9999.9  17.0   9.0
 SAVV   512 -40.85  63.02     7.  3  2 11    0 21.0  70.  12. 9999.9 9999.9  27.0  23.0
 SAVV   512 -40.85  63.02     7.  3  2 11    0 22.0  50.  11. 9999.9 9999.9  25.0  20.0
 SAVV   512 -40.85  63.02     7.  3  2 11    0 23.0  70.  10. 9999.9 9999.9  23.0  17.0
 SAVV   512 -40.85  63.02     7.  3  2 11    0  0.0  50.   8. 9999.9 9999.9  21.0  15.0
